Suite,Title,Description,Pre-conditions,Post-conditions,Severity,Priority,Type,Layer,Behavior,"Automation status",Status,"Step Action","Step Result"
"User Model - White Box Suite","[WBT-001] User::isAdmin() - Branch Coverage: Empty Role (Null)","White-Box structural test for `User::isAdmin()`.

**Test Category:** Branch Coverage: Empty Role (Null)
**Tested Condition:** `role = null`
**Expected Outcome:** `true`
**Actual Outcome:** `true`
**Execution Time:** 12.2 ms","Laravel Bootstrap with SQLite Database in transaction state. Eloquent model `User` loaded.",,major,medium,unit,unit,positive,automated,actual,"Execute white-box verification under condition: role = null","Evaluates to `true` with exact state integrity."
"User Model - White Box Suite","[WBT-002] User::isAdmin() - Branch Coverage: Role = admin","White-Box structural test for `User::isAdmin()`.

**Test Category:** Branch Coverage: Role = admin
**Tested Condition:** `role = admin`
**Expected Outcome:** `true`
**Actual Outcome:** `true`
**Execution Time:** 0.07 ms","Laravel Bootstrap with SQLite Database in transaction state. Eloquent model `User` loaded.",,major,medium,unit,unit,positive,automated,actual,"Execute white-box verification under condition: role = admin","Evaluates to `true` with exact state integrity."
"User Model - White Box Suite","[WBT-003] User::isAdmin() - Branch Coverage: Role = roofing_transfer","White-Box structural test for `User::isAdmin()`.

**Test Category:** Branch Coverage: Role = roofing_transfer
**Tested Condition:** `role = roofing_transfer`
**Expected Outcome:** `false`
**Actual Outcome:** `false`
**Execution Time:** 0.02 ms","Laravel Bootstrap with SQLite Database in transaction state. Eloquent model `User` loaded.",,major,medium,unit,unit,positive,automated,actual,"Execute white-box verification under condition: role = roofing_transfer","Evaluates to `false` with exact state integrity."
"User Model - White Box Suite","[WBT-004] User::isRoofingOfficer() - Branch Coverage: True Branch","White-Box structural test for `User::isRoofingOfficer()`.

**Test Category:** Branch Coverage: True Branch
**Tested Condition:** `role = roofing_transfer`
**Expected Outcome:** `true`
**Actual Outcome:** `true`
**Execution Time:** 0.01 ms","Laravel Bootstrap with SQLite Database in transaction state. Eloquent model `User` loaded.",,major,medium,unit,unit,positive,automated,actual,"Execute white-box verification under condition: role = roofing_transfer","Evaluates to `true` with exact state integrity."
"User Model - White Box Suite","[WBT-005] User::isRoofingOfficer() - Branch Coverage: False Branch","White-Box structural test for `User::isRoofingOfficer()`.

**Test Category:** Branch Coverage: False Branch
**Tested Condition:** `role = admin`
**Expected Outcome:** `false`
**Actual Outcome:** `false`
**Execution Time:** 0.01 ms","Laravel Bootstrap with SQLite Database in transaction state. Eloquent model `User` loaded.",,major,medium,unit,unit,positive,automated,actual,"Execute white-box verification under condition: role = admin","Evaluates to `false` with exact state integrity."
"User Model - White Box Suite","[WBT-006] User::isWindowsDoorsOfficer() - Branch Coverage: True Branch","White-Box structural test for `User::isWindowsDoorsOfficer()`.

**Test Category:** Branch Coverage: True Branch
**Tested Condition:** `role = windows_doors_transfer`
**Expected Outcome:** `true`
**Actual Outcome:** `true`
**Execution Time:** 0.01 ms","Laravel Bootstrap with SQLite Database in transaction state. Eloquent model `User` loaded.",,major,medium,unit,unit,positive,automated,actual,"Execute white-box verification under condition: role = windows_doors_transfer","Evaluates to `true` with exact state integrity."
"User Model - White Box Suite","[WBT-007] User::isWindowsDoorsOfficer() - Branch Coverage: False Branch","White-Box structural test for `User::isWindowsDoorsOfficer()`.

**Test Category:** Branch Coverage: False Branch
**Tested Condition:** `role = roofing_transfer`
**Expected Outcome:** `false`
**Actual Outcome:** `false`
**Execution Time:** 0.01 ms","Laravel Bootstrap with SQLite Database in transaction state. Eloquent model `User` loaded.",,major,medium,unit,unit,positive,automated,actual,"Execute white-box verification under condition: role = roofing_transfer","Evaluates to `false` with exact state integrity."
"User Model - White Box Suite","[WBT-008] User::isSupplier() - Branch Coverage: Role is supplier","White-Box structural test for `User::isSupplier()`.

**Test Category:** Branch Coverage: Role is supplier
**Tested Condition:** `role = supplier, supplier_id = null`
**Expected Outcome:** `true`
**Actual Outcome:** `true`
**Execution Time:** 0.04 ms","Laravel Bootstrap with SQLite Database in transaction state. Eloquent model `User` loaded.",,major,medium,unit,unit,positive,automated,actual,"Execute white-box verification under condition: role = supplier, supplier_id = null","Evaluates to `true` with exact state integrity."
"User Model - White Box Suite","[WBT-009] User::isSupplier() - Branch Coverage: supplier_id is populated","White-Box structural test for `User::isSupplier()`.

**Test Category:** Branch Coverage: supplier_id is populated
**Tested Condition:** `role = null, supplier_id = 99`
**Expected Outcome:** `true`
**Actual Outcome:** `true`
**Execution Time:** 0.02 ms","Laravel Bootstrap with SQLite Database in transaction state. Eloquent model `User` loaded.",,major,medium,unit,unit,positive,automated,actual,"Execute white-box verification under condition: role = null, supplier_id = 99","Evaluates to `true` with exact state integrity."
"User Model - White Box Suite","[WBT-010] User::isSupplier() - Branch Coverage: Neither supplier role nor id","White-Box structural test for `User::isSupplier()`.

**Test Category:** Branch Coverage: Neither supplier role nor id
**Tested Condition:** `role = admin, supplier_id = null`
**Expected Outcome:** `false`
**Actual Outcome:** `false`
**Execution Time:** 0.02 ms","Laravel Bootstrap with SQLite Database in transaction state. Eloquent model `User` loaded.",,major,medium,unit,unit,positive,automated,actual,"Execute white-box verification under condition: role = admin, supplier_id = null","Evaluates to `false` with exact state integrity."
"User Model - White Box Suite","[WBT-011] User::getRoleTitleAttribute - Branch Coverage: Supplier Role with Supplier Object","White-Box structural test for `User::getRoleTitleAttribute`.

**Test Category:** Branch Coverage: Supplier Role with Supplier Object
**Tested Condition:** `supplier loaded with name & category`
**Expected Outcome:** `Steel Corp (Structural & Masonry)`
**Actual Outcome:** `Steel Corp (Structural & Masonry)`
**Execution Time:** 0.23 ms","Laravel Bootstrap with SQLite Database in transaction state. Eloquent model `User` loaded.",,major,medium,unit,unit,positive,automated,actual,"Execute white-box verification under condition: supplier loaded with name & category","Evaluates to `Steel Corp (Structural & Masonry)` with exact state integrity."
"User Model - White Box Suite","[WBT-012] User::getRoleTitleAttribute - Branch Coverage: Supplier Role without Supplier Object","White-Box structural test for `User::getRoleTitleAttribute`.

**Test Category:** Branch Coverage: Supplier Role without Supplier Object
**Tested Condition:** `supplier relation is null`
**Expected Outcome:** `Supplier Account`
**Actual Outcome:** `Supplier Account`
**Execution Time:** 7.66 ms","Laravel Bootstrap with SQLite Database in transaction state. Eloquent model `User` loaded.",,major,medium,unit,unit,positive,automated,actual,"Execute white-box verification under condition: supplier relation is null","Evaluates to `Supplier Account` with exact state integrity."
